experiment_id,phase,method_id,dataset,particle,modalities,seed,loss,label_encoding,gaussian_sigma,expected_mae_weight,emd_weight,emd_p,emd_angle_weighted,val_accuracy,val_mae_argmax,val_macro_f1,val_high_angle_macro_f1,val_far_error_rate_abs_ge_20,test_accuracy,test_mae_argmax,test_macro_f1,test_high_angle_macro_f1,test_far_error_rate_abs_ge_20,source_file,notes
B3a,seed42_screening,cross_entropy,Proton_C_7,proton,ToT,42,cross_entropy,gaussian,5.0,,,,,0.937706511175899,0.576773566569485,0.9541038259226483,0.9214215338042996,0.001652089407191448,0.9406738518302747,0.5490824351878824,0.9567730852414523,0.92530914294661,0.0011651616661811825,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,cross_entropy,Proton_C_7,proton,ToT,42,cross_entropy,gaussian,10.0,,,,,0.9381924198250728,0.5811467444120505,0.9549837792070288,0.9234584361431706,0.001652089407191448,0.9367899796096708,0.5888921254490728,0.9543048354311165,0.9207665693785336,0.0013593552772113797,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,cross_entropy,Proton_C_7,proton,ToT,42,cross_entropy,gaussian,15.0,,,,,0.929737609329446,0.6622934888241011,0.9497677371236557,0.9138352463929392,0.0012633624878522838,0.9239732012816778,0.7020099038741625,0.945377895758643,0.9053720080195247,0.0009709680551509856,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_expected_mae,Proton_C_7,proton,ToT,42,ce_expected_mae,onehot,,0.05,,,,0.9425655976676385,0.5476190476190477,0.9581242949620756,0.9284054451759506,0.002137998056365403,0.9431983687736674,0.539858238663948,0.9593412207227582,0.9300344783295208,0.001553548888241577,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_expected_mae,Proton_C_7,proton,ToT,42,ce_expected_mae,onehot,,0.1,,,,0.9331389698736637,0.63022351797862,0.9512129343405341,0.916978145498309,0.0018464528668610302,0.9346538498883387,0.6228760073793572,0.9533407703414919,0.9199230418667109,0.0016506456937566754,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_expected_mae,Proton_C_7,proton,ToT,42,ce_expected_mae,onehot,,0.2,,,,0.9403304178814383,0.5675413022351797,0.9564638104250994,0.9256678938273052,0.0018464528668610302,0.9393144965530634,0.569472764346053,0.9561855830773103,0.9249505842988042,0.0012622584716962813,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_emd,Proton_C_7,proton,ToT,42,ce_emd,onehot,,,0.05,1,True,0.9413022351797862,0.5558794946550049,0.9566642018902048,0.9262900046484634,0.002137998056365403,0.942809981551607,0.5374308185260704,0.9589756897922282,0.9295615329179663,0.0009709680551509856,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_emd,Proton_C_7,proton,ToT,42,ce_emd,onehot,,,0.1,1,True,0.9394557823129251,0.5724003887269193,0.9561769570538416,0.9247703311092683,0.001652089407191448,0.9415477230799106,0.5515098553257598,0.957431903407337,0.9270797253000379,0.001553548888241577,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3a,seed42_screening,ce_emd,Proton_C_7,proton,ToT,42,ce_emd,onehot,,,0.2,1,True,0.9413022351797862,0.5636540330417882,0.9573969610159999,0.9274083244687104,0.002137998056365403,0.9418390134964559,0.5587921157393921,0.9582983230617691,0.9283236126968392,0.001747742499271774,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-main,three_seed_verification,ce_expected_mae,Proton_C_7,proton,ToT,42,ce_expected_mae,onehot,,0.05,,,,0.9425655976676385,0.5476190476190477,0.9581242949620756,0.9284054451759506,0.002137998056365403,0.9431983687736674,0.539858238663948,0.9593412207227582,0.9300344783295208,0.001553548888241577,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-main,three_seed_verification,ce_expected_mae,Proton_C_7,proton,ToT,43,ce_expected_mae,onehot,,0.05,,,,0.9414965986394558,0.5515063168124392,0.9575482310752158,0.9268299274071312,0.0018464528668610302,0.9447519176619089,0.5199533935333528,0.9601481386512833,0.9309423027490356,0.0012622584716962813,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-main,three_seed_verification,ce_expected_mae,Proton_C_7,proton,ToT,44,ce_expected_mae,onehot,,0.05,,,,0.9420796890184645,0.5495626822157434,0.957929798195517,0.9276117723073989,0.001943634596695821,0.9433925623846976,0.535003398388193,0.9590709586928782,0.9297263855072271,0.0014564520827264782,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-optional,three_seed_verification,ce_emd,Proton_C_7,proton,ToT,42,ce_emd,onehot,,,0.05,1,True,0.9413022351797862,0.5558794946550049,0.9566642018902048,0.9262900046484634,0.002137998056365403,0.942809981551607,0.5374308185260704,0.9589756897922282,0.9295615329179663,0.0009709680551509856,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-optional,three_seed_verification,ce_emd,Proton_C_7,proton,ToT,43,ce_emd,onehot,,,0.05,1,True,0.9409135082604471,0.5515063168124392,0.9567539874026796,0.9259972571938709,0.0014577259475218659,0.9431012719681523,0.5393727546363725,0.9587121622269951,0.928870908624112,0.0016506456937566754,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
B3b-optional,three_seed_verification,ce_emd,Proton_C_7,proton,ToT,44,ce_emd,onehot,,,0.05,1,True,0.9438289601554908,0.5272108843537415,0.9584294873242902,0.929214456068214,0.0014577259475218659,0.9445577240508787,0.5189824254782017,0.9599198676214217,0.930592875711568,0.001553548888241577,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,B3a selects by validation; B3b reports final test only after selection
A6,planned_or_running,,Alpha_100,alpha,ToT,,,,,,,,,,,,,,,,,,,,A6 Alpha ordered-loss results were pending in the latest experiment log
