experiment_id,group_or_files,dataset,particle,modalities,role,stage_type,paper_section,selection_metric,include_level,validation_policy,test_policy,status,source_files,notes
D2,resolution_limit,Proton_C,proton,ToT,diagnostic,analysis,Dataset limitation discussion,not_applicable,discussion,not_for_model_selection,not_for_model_selection,completed,outputs/analysis_report.md;outputs/resolution_limit,近垂直80到90度分辨极限分析;不混入Proton_C_7训练主线
A3-legacy,a3_backbone_comparison_50,Alpha_100,alpha,ToT,excluded,legacy_or_confusing_run,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/a3_backbone_comparison_50,后缀50版本不作为正式分析;避免与seed42正式版本混淆
A4-legacy,a4_modality_comparison_50,Alpha_100,alpha,ToT;ToA;ToT+ToA,excluded,legacy_or_confusing_run,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/a4_modality_comparison_50,后缀50版本不作为正式分析
A4b-2-3,outputs/a4b_prediction_complementarity_seed42*;outputs/a4b_oracle_complementarity_seed42*,Alpha_100,alpha,ToT;ToT+ToA,diagnostic,complementarity_analysis,Alpha multimodal fusion,validation_oracle_diagnostic,discussion,diagnostic_only,diagnostic_only,completed,outputs/a4b_prediction_complementarity_seed42_summary.csv;outputs/a4b_oracle_complementarity_seed42_localcheck_summary.csv,互补性和oracle上限诊断;不作为可部署模型
A4b-4,outputs/a4b_4a*;outputs/a4b_4b*;outputs/a4b_4c*;outputs/a4b_4d*;outputs/a4b_4e_rule_selector*,Alpha_100,alpha,ToT;ToT+ToA,diagnostic,selector_diagnostic,Alpha multimodal fusion,validation_selected_rule,discussion_or_appendix,validation_selects_rule,test_reports_rule,completed,outputs/a4b_4e_rule_selector_mean_std.csv,hard rule和logit selector诊断;说明简单selector不够强
A4c-4,a4c_warm_started_expert_gate,Alpha_100,alpha,ToT+ToA,diagnostic,three_seed_warm_start_gate,Alpha multimodal fusion,validation_accuracy,discussion_or_appendix,validation_compares_freeze_setting,test_reports_generalization,completed,outputs/a4c_warm_started_expert_gate_runs.csv;outputs/a4c_warm_started_expert_gate_mean_std.csv,warm-start expert gate对照;freeze=true稳定但不是最佳主线
A5a,a5a_alpha_handcrafted_screening,Alpha_100,alpha,ToT;ToA,diagnostic,feature_screening,Handcrafted physical features,validation_permutation_importance,discussion,validation_only_feature_screening,no_test_in_screening,completed,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening,传统模型和置换重要性筛选手工特征;test不参与筛选
B1-best-old,b1_proton_c7_resnet18_tot_best_3seed,Proton_C_7,proton,ToT,excluded,diagnostic_old_early_stopping,Excluded runs,not_applicable,exclude,do_not_use_for_final,diagnostic_only,completed,outputs/b1_proton_c7_resnet18_tot_best_3seed_runs.csv;outputs/b1_proton_c7_resnet18_tot_best_3seed_mean_std.csv,旧patience=5早停过激;只用于说明为何重跑
B2a,b2_proton_c7_handcrafted_lowcorr_seed42,Proton_C_7,proton,ToT image plus ToT scalars,diagnostic,seed42_concat_feature_transfer,Handcrafted physical features,validation_accuracy,discussion_or_appendix,diagnostic_only,report_only,completed,outputs/b2_proton_c7_handcrafted_lowcorr_seed42_runs.csv,Proton手工特征concat低成本验证;几何特征极小增益;ToT_density变差
B2b,b2_proton_c7_handcrafted_gated_seed42,Proton_C_7,proton,ToT image plus ToT scalars,diagnostic,seed42_gated_feature_transfer,Handcrafted physical features,validation_accuracy,discussion_or_appendix,diagnostic_only,report_only,completed,outputs/b2_proton_c7_handcrafted_gated_seed42_runs.csv,gated能抑制ToT_density负面影响但无实质提升
M1,compare_mixed_precision,Alpha_100,alpha,ToT,diagnostic,technical_validation,Technical appendix,not_applicable,appendix,not_for_model_selection,not_for_model_selection,completed,outputs/compare_mixed_precision_summary.csv;outputs/experiments/compare_mixed_precision,混合精度技术检查;不进入科学主结果
LEGACY-baseline,baseline,Alpha_100,alpha,ToT,excluded,legacy_baseline,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/baseline,早期baseline目录;当前论文主线使用A2-best
LEGACY-configs,alpha_resnet18_tot_handcrafted*;alpha_resnet18_tot_toa;compare_losses;compare_models;proton_resnet18_tot,Alpha_100;Proton_C_7,alpha;proton,mixed,excluded,legacy_config,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,legacy,configs/experiments,早期配置入口;不代表当前正式实验体系
LEGACY-run-ablation,run_ablation,Alpha_100,alpha,mixed,excluded,temporary_script,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,legacy,run_ablation,早期临时消融脚本;不作为正式实验划分
